Name;Date;Station;Transect;Project Name;Aux4;Aux5;Height (cm);Latitude;Longitude;Depth;Camera;Photographer;Water quality;Strobes;Framing gear used;White balance card;Comments;Row;Column;Label
MB28-T1-02.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3378;330;SGR
MB28-T1-02.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3466;1338;SGR
MB28-T1-02.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3069;830;SGR
MB28-T1-02.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2944;1616;SGR
MB28-T1-02.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3537;2905;SGR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;199;429;SGR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;130;1400;SGR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;88;991;SGR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;421;2749;SGR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;163;2279;SND
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;175;2290;SND
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;346;2364;SND
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;261;3138;SND
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1219;721;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1080;2296;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1401;2616;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1203;2419;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1551;666;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2093;421;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2015;370;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1944;136;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1483;1067;ACOR
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2012;1913;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1685;3134;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2271;773;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2767;2201;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2282;3069;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2528;3151;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3164;1441;porM
MB28-T1-03.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2915;2739;porM
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;80;117;porM
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;23;621;Spog
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;561;954;Spog
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;52;2555;Spog
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;567;3291;Spog
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;335;3307;Zooa
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;480;3251;Zooa
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1268;213;Zooa
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1402;965;Zooa
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1343;2463;Zooa
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;957;3335;SND
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1809;5;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1556;1986;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2024;2013;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1518;1580;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;1835;3494;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2306;516;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2800;659;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2658;722;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2438;2563;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2621;3326;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3222;861;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;2885;1540;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3354;2738;SGR
MB28-T1-04.JPG;12/13/2022;1208;T1;MERMAID Reef Survey;;;;;;;;;;;;;;3432;2527;SGR
