SiteID;Depth;Transect_length;Width;Transect_number;Fish species;Size_cm;Abundance;
1208;5;5;5;1;Parupeneus multifaskiatus;15;5;
1208;5;5;20;1;Acanthurus bariene;37;1;
1208;5;5;20;1;Platax teira;37;1;
1208;5;5;20;1;Bolbometopon muricatum;120;1;
1208;5;5;20;1;Parupeneus indikus;36;1;
1208;5;5;5;1;Acanthurus auranticavus;17;4;
1208;5;5;20;1;Plectorhinchus chaetodonoides;36;4;
1208;5;5;5;1;Zanclus cornutus;10;2;
1208;5;5;20;1;Variola albimarginata;36;1;
1208;5;5;20;1;Lutjanus sp.;36;3;
